STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
DAN,D,18,SNOW DP,,20190512,47,,INCHES
DAN,D,18,SNOW DP,,20190513,46,,INCHES
DAN,D,18,SNOW DP,,20190514,45,,INCHES
DAN,D,18,SNOW DP,,20190515,42,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190518,47,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190520,49,,INCHES
DAN,D,18,SNOW DP,,20190521,46,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190524,48,,INCHES
DAN,D,18,SNOW DP,,20190525,47,,INCHES
DAN,D,18,SNOW DP,,20190526,44,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190528,46,,INCHES
DAN,D,18,SNOW DP,,20190529,44,,INCHES
DAN,D,18,SNOW DP,,20190530,42,,INCHES
DAN,D,18,SNOW DP,,20190531,40,,INCHES
DAN,D,18,SNOW DP,,20190601,40,,INCHES
DAN,D,18,SNOW DP,,20190602,39,,INCHES
DAN,D,18,SNOW DP,,20190603,183,,INCHES
DAN,D,18,SNOW DP,,20190604,35,,INCHES
DAN,D,18,SNOW DP,,20190605,33,,INCHES
DAN,D,18,SNOW DP,,20190606,180,N,INCHES
DAN,D,18,SNOW DP,,20190607,30,,INCHES
DAN,D,18,SNOW DP,,20190608,26,,INCHES
DAN,D,18,SNOW DP,,20190609,25,,INCHES
DAN,D,18,SNOW DP,,20190610,22,,INCHES
DAN,D,18,SNOW DP,,20190611,18,,INCHES
DAN,D,18,SNOW DP,,20190612,180,,INCHES
DAN,D,18,SNOW DP,,20190613,14,,INCHES
DAN,D,18,SNOW DP,,20190614,14,,INCHES
DAN,D,18,SNOW DP,,20190615,10,,INCHES
DAN,D,18,SNOW DP,,20190616,8,,INCHES
DAN,D,18,SNOW DP,,20190617,181,,INCHES
DAN,D,18,SNOW DP,,20190618,2,,INCHES
DAN,D,18,SNOW DP,,20190619,182,,INCHES
DAN,D,18,SNOW DP,,20190620,182,,INCHES
DAN,D,18,SNOW DP,,20190621,180,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190623,183,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190625,182,,INCHES
DAN,D,18,SNOW DP,,20190626,181,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190630,181,,INCHES
DAN,D,18,SNOW DP,,20190701,182,,INCHES
DAN,D,18,SNOW DP,,20190702,179,,INCHES
DAN,D,18,SNOW DP,,20190703,182,,INCHES
DAN,D,18,SNOW DP,,20190704,180,,INCHES
DAN,D,18,SNOW DP,,20190705,181,,INCHES
DAN,D,18,SNOW DP,,20190706,182,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190708,182,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190710,182,,INCHES
DAN,D,18,SNOW DP,,20190711,183,,INCHES
DAN,D,18,SNOW DP,,20190712,180,,INCHES
DAN,D,18,SNOW DP,,20190713,181,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190716,180,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190718,180,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190723,179,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190727,182,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190801,180,,INCHES
DAN,D,18,SNOW DP,,,,,INCHES
DAN,D,18,SNOW DP,,20190803,183,,INCHES
DAN,D,18,SNOW DP,,20190804,180,,INCHES
