,time,distance,dh_fit_dx,gt,spot,w_surface_window_final,h_mean,dh_fit_dy,n_fit_photons,pflags,cycle,h_sigma,rgt,rms_misfit,delta_time,segment_id,doy,decyear,dowy,x,y,geometry
26329,2020-10-07T12:51:46.658001,5395608.387015145,-0.15035119129522911,60,2,3.8824270496553526,717.2422006768822,0.0,11,0,9,0.13267143897961256,204,0.3980242245224846,87310306.65773456,269077,281,2020.7664916849449,8,703203.4270695809,5371376.921639906,POINT (703203.4270695809 5371376.921639906)
26332,2020-10-07T12:51:46.659000,5398052.84047548,-0.35819203997077764,50,1,9.154348732353132,660.6818645236856,0.0,24,0,9,0.19512021575482977,204,0.8033353872751918,87310306.6594113,269199,281,2020.7664916849765,8,702794.6006066953,5373788.7936398145,POINT (702794.6006066953 5373788.793639814)
26333,2020-10-07T12:51:46.660999,5395628.423530796,-0.1356326696011001,60,2,3.512288242937596,714.3504843559306,0.0,11,0,9,0.14654751166533656,204,0.4634330241795281,87310306.66054045,269078,281,2020.7664916850397,8,703200.7665191414,5371396.782663898,POINT (703200.7665191414 5371396.782663898)
26337,2020-10-07T12:51:46.666000,5395668.496561508,0.016980172922460568,60,2,3.0,711.671857755155,0.0,12,0,9,0.04896503081321939,204,0.11123083806522295,87310306.66615415,269081,281,2020.766491685198,8,703195.4651466927,5371436.507249682,POINT (703195.4651466927 5371436.507249682)
26341,2020-10-07T12:51:46.668999,5395688.533076569,0.009367487154661625,60,2,3.0,711.9426887052518,0.0,23,0,9,0.02877436850862449,204,0.13751667850927646,87310306.66896403,269081,281,2020.7664916852927,8,703192.8337768732,5371456.37218303,POINT (703192.8337768732 5371456.37218303)
26344,2020-10-07T12:51:46.672001,5395708.569591435,0.012970475371824719,60,2,3.0,712.1805420666625,0.0,18,0,9,0.04351981275944034,204,0.17854193497067303,87310306.67177631,269082,281,2020.7664916853876,8,703190.2140995839,5371476.238616007,POINT (703190.2140995839 5371476.238616007)
26346,2020-10-07T12:51:46.673000,5398153.0229320135,-0.11659039611651689,50,1,3.035306012347663,622.3832025453128,0.0,36,4,9,0.09190959298849734,204,0.434385047792586,87310306.67345566,269204,281,2020.7664916854192,8,702781.5650135815,5373888.133824629,POINT (702781.5650135815 5373888.133824629)
26348,2020-10-07T12:51:46.674999,5395728.6061061025,-0.0025374475467980773,60,2,3.0,712.3087947660573,0.0,10,0,9,0.06349918307543143,204,0.20076239179513555,87310306.6745924,269083,281,2020.7664916854824,8,703187.6142823461,5371496.107684978,POINT (703187.6142823461 5371496.107684978)
26350,2020-10-07T12:51:46.675999,5398173.0594227305,-0.20348297485630695,50,1,5.22473310056019,618.9736766733798,0.0,52,0,9,0.07769424411325773,204,0.5516178401861407,87310306.67627116,269205,281,2020.766491685514,8,702779.0573312056,5373908.015077387,POINT (702779.0573312056 5373908.015077387)
26352,2020-10-07T12:51:46.676998,5395748.642620576,0.0166906736290251,60,2,3.0,712.4323563477161,0.0,13,0,9,0.06642972291080004,204,0.19704088145545356,87310306.67741245,269084,281,2020.7664916855456,8,703185.0362910338,5371515.97963648,POINT (703185.0362910338 5371515.97963648)
26354,2020-10-07T12:51:46.679001,5398193.095913251,-0.15272865786220047,50,1,3.9423071128425695,615.2395034302974,0.0,67,0,9,0.07197530013493773,204,0.5551552685614042,87310306.67908819,269206,281,2020.766491685609,8,702776.56820007,5373927.898737731,POINT (702776.5682000699 5373927.898737731)
26355,2020-10-07T12:51:46.680000,5395768.679134852,0.036890110406173626,60,2,3.0,713.0362964244521,0.0,26,0,9,0.04783018205041076,204,0.23290039640452573,87310306.68023618,269085,281,2020.7664916856406,8,703182.4740038172,5371535.853641321,POINT (703182.4740038172 5371535.853641321)
26357,2020-10-07T12:51:46.681999,5398213.132403576,-0.07294649640399031,50,1,3.0,612.9851595780973,0.0,55,0,9,0.04778577638017396,204,0.2616885319204728,87310306.68190838,269207,281,2020.7664916857038,8,702774.0775571326,5373947.78221724,POINT (702774.0775571326 5373947.78221724)
26358,2020-10-07T12:51:46.682999,5395788.715648932,0.049892341366184034,60,2,3.0,713.9259752300297,0.0,29,0,9,0.06132475384787091,204,0.3192687813195182,87310306.68306197,269086,281,2020.7664916857354,8,703179.9164365802,5371555.728278541,POINT (703179.9164365802 5371555.728278541)
26360,2020-10-07T12:51:46.685001,5398233.168893705,-0.23663265937899247,50,1,6.065046147735199,609.1503296112589,0.0,25,0,9,0.08015642413466462,204,0.39153127931695964,87310306.68473078,269208,281,2020.7664916857987,8,702771.5708091974,5373967.663501487,POINT (702771.5708091974 5373967.663501487)
