x,y,h_mean
710823.4528,5355569.432,1155.468833
713991.292,5356110.889,1245.297802
710820.8401,5355589.299,1160.723577
713981.0499,5356190.38,1234.718115
713978.6371,5356210.272,1227.068954
713976.1954,5356230.161,1222.202262
710807.8838,5355688.646,1180.630854
707636.5493,5355146.731,1447.776641
713973.7239,5356250.046,1219.766269
710805.2799,5355708.514,1187.011042
707633.9266,5355166.597,1436.697775
713971.3881,5356268.872,1216.767006
713968.9466,5356288.827,1210.325163
713966.4257,5356309.715,1200.299906
713963.9989,5356329.606,1189.851598
713961.5468,5356349.493,1179.268508
713959.0932,5356369.379,1167.773412
710789.6922,5355827.726,1197.66083
713951.6578,5356429.03,1135.994733
707611.2741,5355344.089,1329.546978
707608.7665,5355363.941,1321.059794
713946.7193,5356468.8,1114.827141
707606.0581,5355385.252,1310.816768
713944.257,5356488.686,1105.303775
710774.4201,5355946.979,1169.781209
713941.7902,5356508.572,1097.513105
710771.9091,5355966.859,1165.920673
713939.3183,5356528.456,1091.130082
713936.863,5356548.343,1084.232833
713934.4369,5356568.234,1076.606088
713931.9956,5356588.123,1070.550954
710762.0177,5356046.399,1125.805955
710759.5307,5356066.282,1114.548417
714333.6232,5354256.333,1039.342426
713922.1653,5356667.668,1057.991546
714330.9949,5354276.196,1044.014151
713919.6101,5356687.542,1061.123642
713911.729,5356746.951,1081.164281
710741.8311,5356205.425,1064.657943
707569.8415,5355663.44,1198.592389
713909.1034,5356766.998,1082.016215
710739.3252,5356225.306,1058.523706
707567.3464,5355683.323,1194.068258
713906.532,5356786.869,1079.111874
713904.0256,5356806.749,1070.974373
713901.5467,5356826.633,1060.81385
713899.0818,5356846.519,1049.943056
713894.2441,5356886.301,1023.886143
710724.2304,5356344.583,1029.165138
710721.6947,5356364.46,1022.319346
710719.142,5356384.334,1016.553057
713887.1749,5356946,979.497018
713884.8042,5356965.899,966.5833295
707541.9163,5355882.088,1152.872595
713882.4324,5356985.797,953.513381
710711.4284,5356443.951,1008.382919
710708.8682,5356463.824,1005.875491
713875.2054,5357045.474,918.7259036
713872.7772,5357065.365,906.3214863
710701.2815,5356523.457,995.7346138
713870.3317,5357085.253,894.7472153
710698.7785,5356543.338,991.8756386
713867.8692,5357105.139,884.0531909
710696.2875,5356563.22,987.1596707
713865.4134,5357125.026,872.8360503
