STATION_ID,DURATION,SENSOR_NUMBER,SENS_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
TUM,D,18,SNOW DP,,20190629,2,,INCHES
TUM,D,18,SNOW DP,,20190630,3,,INCHES
TUM,D,18,SNOW DP,,20190701,2,,INCHES
TUM,D,18,SNOW DP,,20190702,1,,INCHES
TUM,D,18,SNOW DP,,20190703,1,,INCHES
TUM,D,18,SNOW DP,,20190704,1,,INCHES
TUM,D,18,SNOW DP,,20190705,1,,INCHES
TUM,D,18,SNOW DP,,20190706,1,,INCHES
TUM,D,18,SNOW DP,,20190707,1,,INCHES
TUM,D,18,SNOW DP,,20190708,1,,INCHES
TUM,D,18,SNOW DP,,20190709,0,,INCHES
TUM,D,18,SNOW DP,,20190710,2,,INCHES
TUM,D,18,SNOW DP,,20190711,1,,INCHES
TUM,D,18,SNOW DP,,20190712,2,,INCHES
TUM,D,18,SNOW DP,,20190713,1,,INCHES
TUM,D,18,SNOW DP,,20190714,2,,INCHES
TUM,D,18,SNOW DP,,20190715,2,,INCHES
TUM,D,18,SNOW DP,,20190716,3,,INCHES
TUM,D,18,SNOW DP,,20190717,1,,INCHES
TUM,D,18,SNOW DP,,20190718,1,,INCHES
TUM,D,18,SNOW DP,,20190719,1,,INCHES
TUM,D,18,SNOW DP,,20190720,2,,INCHES
TUM,D,18,SNOW DP,,20190721,-0,,INCHES
TUM,D,18,SNOW DP,,20190722,1,,INCHES
TUM,D,18,SNOW DP,,20190723,1,,INCHES
TUM,D,18,SNOW DP,,20190724,3,,INCHES
TUM,D,18,SNOW DP,,20190725,2,,INCHES
TUM,D,18,SNOW DP,,20190726,2,,INCHES
TUM,D,18,SNOW DP,,20190727,2,,INCHES
TUM,D,18,SNOW DP,,20190728,2,,INCHES
TUM,D,18,SNOW DP,,20190729,2,,INCHES
TUM,D,18,SNOW DP,,20190730,1,,INCHES
TUM,D,18,SNOW DP,,20190731,0,,INCHES
TUM,D,18,SNOW DP,,20190801,2,,INCHES
TUM,D,18,SNOW DP,,20190802,2,,INCHES
TUM,D,18,SNOW DP,,20190803,1,,INCHES
TUM,D,18,SNOW DP,,20190804,3,,INCHES
TUM,D,18,SNOW DP,,20190805,1,,INCHES
TUM,D,18,SNOW DP,,20190806,2,,INCHES
TUM,D,18,SNOW DP,,20190807,0,,INCHES
TUM,D,18,SNOW DP,,20190808,1,,INCHES
TUM,D,18,SNOW DP,,20190809,2,,INCHES
TUM,D,18,SNOW DP,,20190810,1,,INCHES
TUM,D,18,SNOW DP,,20190811,2,,INCHES
TUM,D,18,SNOW DP,,20190812,1,,INCHES
TUM,D,18,SNOW DP,,20190813,1,,INCHES
TUM,D,18,SNOW DP,,20190814,2,,INCHES
TUM,D,18,SNOW DP,,20190815,1,,INCHES
TUM,D,18,SNOW DP,,20190816,1,,INCHES
TUM,D,18,SNOW DP,,20190817,1,,INCHES
TUM,D,18,SNOW DP,,20190818,1,,INCHES
TUM,D,18,SNOW DP,,20190819,1,,INCHES
TUM,D,18,SNOW DP,,20190820,1,,INCHES
TUM,D,18,SNOW DP,,20190821,-0,,INCHES
TUM,D,18,SNOW DP,,20190822,1,,INCHES
TUM,D,18,SNOW DP,,20190823,1,,INCHES
TUM,D,18,SNOW DP,,20190824,0,,INCHES
TUM,D,18,SNOW DP,,20190825,2,,INCHES
TUM,D,18,SNOW DP,,20190826,1,,INCHES
TUM,D,18,SNOW DP,,20190827,0,,INCHES
TUM,D,18,SNOW DP,,20190828,2,,INCHES
TUM,D,18,SNOW DP,,20190829,2,,INCHES
TUM,D,18,SNOW DP,,20190830,1,,INCHES
TUM,D,18,SNOW DP,,20190831,1,,INCHES
TUM,D,18,SNOW DP,,20190901,1,,INCHES
TUM,D,18,SNOW DP,,20190902,1,,INCHES
TUM,D,18,SNOW DP,,20190903,1,,INCHES
TUM,D,18,SNOW DP,,20190904,1,,INCHES
TUM,D,18,SNOW DP,,20190905,1,,INCHES
TUM,D,18,SNOW DP,,20190906,2,,INCHES
TUM,D,18,SNOW DP,,20190907,2,,INCHES
TUM,D,18,SNOW DP,,20190908,3,,INCHES
TUM,D,18,SNOW DP,,20190909,1,,INCHES
TUM,D,18,SNOW DP,,20190910,2,,INCHES
TUM,D,18,SNOW DP,,20190911,1,,INCHES
TUM,D,18,SNOW DP,,20190912,1,,INCHES
TUM,D,18,SNOW DP,,20190913,1,,INCHES
TUM,D,18,SNOW DP,,20190914,1,,INCHES
TUM,D,18,SNOW DP,,20190915,0,,INCHES
TUM,D,18,SNOW DP,,20190916,1,,INCHES
TUM,D,18,SNOW DP,,20190917,1,,INCHES
TUM,D,18,SNOW DP,,20190918,1,,INCHES
TUM,D,18,SNOW DP,,20190919,1,,INCHES
TUM,D,18,SNOW DP,,20190920,1,,INCHES
TUM,D,18,SNOW DP,,20190921,1,,INCHES
TUM,D,18,SNOW DP,,20190922,0,,INCHES
TUM,D,18,SNOW DP,,20190923,-1,,INCHES
TUM,D,18,SNOW DP,,20190924,1,,INCHES
TUM,D,18,SNOW DP,,20190925,1,,INCHES
TUM,D,18,SNOW DP,,20190926,1,,INCHES
TUM,D,18,SNOW DP,,20190927,-1,,INCHES
TUM,D,18,SNOW DP,,20190928,-0,,INCHES
TUM,D,18,SNOW DP,,20190929,118,,INCHES
TUM,D,18,SNOW DP,,20190930,0,,INCHES
TUM,D,18,SNOW DP,,20191001,-0,,INCHES
TUM,D,18,SNOW DP,,20191002,0,,INCHES
TUM,D,18,SNOW DP,,20191003,-0,,INCHES
TUM,D,18,SNOW DP,,20191004,-0,,INCHES
TUM,D,18,SNOW DP,,20191005,0,,INCHES
TUM,D,18,SNOW DP,,20191006,0,,INCHES
